placemarkName,placemarkLat,placemarkLon,styleId,origHref,proposedType,proposedValue,matchedDocId
"ESTACIÓN BUS 🚍 / Tordesillas (Valladolid)",41.502869,-5.00468,icon-1532-0288D1,"",none,"",uFq0S3APIhQCgJJ4gxUc
"ESTACIÓN BUS 🚍 / Alba de Tormes (Salamanca)",40.822786,-5.515469,icon-1532-0288D1,"",none,"",YNM9alUorca9rfZBT9eu
"ESTACIÓN BUS 🚍 / Salamanca",40.97029,-5.675575,icon-1532-0288D1,"",none,"",ynqk7vdGBbTALvBAuLSk
"ESTACIÓN BUS 🚍 / Viseu (PO)",40.661433,-7.916053,icon-1532-0288D1,"",none,"",sp4616oCf16QHa6Or4mR
"ESTACIÓN BUS 🚍 / Albergaria A Velha (POR)",40.689537,-8.475543,icon-1532-0288D1,"",none,"",Qm3Z8h8ZILbN8YwFb3S3
"ESTACIÓN BUS 🚍 / Almendralejo (Badajoz)",38.675717,-6.396994,icon-1532-0288D1,"",none,"",wrJtYhNOxWF6U3SGNONd
"ESTACIÓN BUS 🚍 / Isla Cristina (Huelva)",37.203394,-7.323778,icon-1532-0288D1,"",none,"",KDLIsR9DXQQQSTDbGbUn
"ESTACIÓN BUS 🚍 / Ayamonte (Huelva)",37.21464,-7.399026,icon-1532-0288D1,"",none,"",oBrZqLsdeCX61ZKG7LyR
"ESTACIÓN BUS 🚍 / Cádiz",36.52761,-6.285511,icon-1532-0288D1,"",none,"",fRmfodSEGVy3d2r6Ewbg
"ESTACIÓN BUS 🚍 / Almuñecar (Granada)",36.735455,-3.688434,icon-1532-0288D1,"",none,"",pfRErvddrXFpv6uIuImR
"ESTACIÓN BUS 🚍 / Calpe (Alicante)",38.647035,0.044385,icon-1532-0288D1,"",none,"",YZhXXnheA2N8fKCXmBS4
"ESTACIÓN BUS 🚍 / Jávea (Alicante)",38.786927,0.165527,icon-1532-0288D1,"",none,"",m8god24dOyMi4mSAFKgW
"ESTACIÓN BUS 🚍 / Gandía (Valencia)",38.970534,-0.180328,icon-1532-0288D1,"",none,"",gY4r50mDh2URNx7LRaOy
"ESTACIÓN BUS 🚍 / Teruel",40.341239,-1.104605,icon-1532-0288D1,"",none,"",Q04PJChjieYJAXL4CdwS
"ESTACIÓN BUS 🚍 / Tortosa (Tarragona)",40.805763,0.522019,icon-1532-0288D1,"",none,"",2gKcm9j0f9m0uJbJgM8C
"ESTACIÓN BUS 🚍 / Mora D'Ebre (Tarragona)",41.088846,0.644557,icon-1532-0288D1,"",none,"",qzx4oMUEmq58nkNh67gX
"ESTACIÓN BUS 🚍 / Cambrils (Tarragona)",41.069064,1.055356,icon-1532-0288D1,"",none,"",CcLmeYldccm6mih4WOS1
"ESTACIÓN BUS 🚍 / Salou (Tarragona)",41.074251,1.139292,icon-1532-0288D1,"",none,"",nv7k0bDko7Abo6gSV8Iy
"ESTACIÓN BUS 🚍 / Tarragona",41.118044,1.244515,icon-1532-0288D1,"",none,"",Esn3red895p2A6JSyTYK
"ESTACIÓN BUS 🚍 / Vic",41.932733,2.24913,icon-1532-0288D1,"",none,"",7QT7rKCnJX9zUqdSLKLV
"ESTACIÓN BUS 🚍 / Nerja (Málaga)",36.750973,-3.877845,icon-1532-0288D1,"",none,"",agejB17kNLTBSbuVgbJt
"ESTACIÓN BUS 🚍 / Reus (Tarragona)",41.147972,1.11193,icon-1532-0288D1,"",none,"",Xr2nWF70nsRcOQZQOSmd
"ESTACIÓN BUS 🚍 / Granollers (Barcelona)",41.606738,2.291268,icon-1532-0288D1,"",none,"",73MLfJsae0RQFgGD3wde
"ESTACIÓN BUS 🚍 / Andorra La Vella",42.504733,1.521119,icon-1532-0288D1,"",none,"",en1Z9kT9kyDbAIjYDsSo
"ESTACIÓN BUS 🚍 / Zaragoza (DELICIAS)",41.659994,-0.912487,icon-1532-0288D1,"",none,"",7y7U7OWhbnds7BZAWPk6
"ESTACIÓN BUS 🚍 / Sanxenxo (Pontevedra)",42.406685,-8.813214,icon-1532-0288D1,"",none,"",3NTVC52fVhPmJXVooQlb
"ESTACIÓN BUS 🚍 / Alicante",38.337749,-0.491398,icon-1532-0288D1,"",none,"",eHYIPql6FyPAeJTwpA42
"ESTACIÓN BUS 🚍 / Vilagarcia de Arousa (Pontevedra)",42.599698,-8.762047,icon-1532-0288D1,"",none,"",aGIlDZZONmCaq7yk0E7r
"ESTACIÓN BUS 🚍 / Vilafranca del Penedés (Barcelona)",41.341414,1.701949,icon-1532-0288D1,"",none,"",iI6W6vaSkDAUJfvts63v
